,Sr No,Date,Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount in USD,Funding_Category,Amount in Rs(Cr),Funding_Round,Investor_Rank_x,Power_Score_x,Investor_Rank_y,Power_Score_y,Influence_Index,Final_Rank
316,191,02-07-2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,"""ajay relan and vinay mittal""",seed/ angel funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
317,192,04-07-2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,"""mdi ventures & telkom indonesia""",private equity,4000000,Large,36.388,Private Equity,415,0.702151439,415,0.702151439,0.004776134,616
318,194,06-07-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,"""info edge (india) ltd and temasek""",private equity,27700000,Very Large,251.9869,Private Equity,202,0.895780944,202,0.895780944,0.011130285,419
319,195,09-07-2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,"""info edge (india) ltd""",seed/ angel funding,440000,Medium,4.00268,Seed,317,0.802738195,317,0.802738195,0.034840532,137
320,196,09-07-2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"""insignia ventures partners""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
321,196,09-07-2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"""  lightbridge partners & kairos""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
322,197,10-07-2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"""avtar monga""",seed/ angel funding,437000,Medium,3.975389,Seed,565,0.146968427,565,0.146968427,0.003820867,709
323,197,10-07-2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"""  chief operating office at idfc bank""",seed/ angel funding,437000,Medium,3.975389,Seed,565,0.146968427,565,0.146968427,0.003820867,709
324,197,10-07-2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"""  aditya malik & others""",seed/ angel funding,437000,Medium,3.975389,Seed,565,0.146968427,565,0.146968427,0.003820867,709
325,198,10-07-2018,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,"""venture catalysts""",seed/ angel funding,1750000,Large,15.91975,Seed,309,0.809723386,309,0.809723386,0.049696374,84
326,199,10-07-2018,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,"""responsability""",private equity,5000000,Large,45.485,Private Equity,198,0.897177983,198,0.897177983,0.013012761,337
327,200,10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"""stellaris venture partners""",private equity,5000000,Large,45.485,Private Equity,302,0.818664431,302,0.818664431,0.020378226,222
328,200,10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"""  vy capital""",private equity,5000000,Large,45.485,Private Equity,115,0.94998603,115,0.94998603,0.023488571,206
329,200,10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"""  raghunandan g""",private equity,5000000,Large,45.485,Private Equity,305,0.812517463,305,0.812517463,0.023973678,198
330,200,10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"""  and ramakant sharma""",private equity,5000000,Large,45.485,Private Equity,397,0.727437832,397,0.727437832,0.005044242,606
331,201,11-07-2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,"""base of pyramid asia (bopa) pte ltd""",private equity,2500000,Large,22.7425,Private Equity,457,0.62154233,457,0.62154233,0.004373973,636
332,202,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"""rishi vasudev""",seed/ angel funding,180000,Medium,1.63746,Seed,539,0.205644035,539,0.205644035,0.007550983,541
333,202,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"""  excelsior investments""",seed/ angel funding,180000,Medium,1.63746,Seed,633,0.054763901,633,0.054763901,0.003751963,772
334,202,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"""  ritesh vohra""",seed/ angel funding,180000,Medium,1.63746,Seed,633,0.054763901,633,0.054763901,0.003751963,772
335,202,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"""  praveer kumar""",seed/ angel funding,180000,Medium,1.63746,Seed,633,0.054763901,633,0.054763901,0.003751963,772
336,202,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"""  prashant gupta and others""",seed/ angel funding,180000,Medium,1.63746,Seed,633,0.054763901,633,0.054763901,0.003751963,772
337,203,12-07-2018,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,"""brand capital and others""",seed/ angel funding,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
338,204,13-07-2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"""siddharth agarwal""",seed/ angel funding,175000,Medium,1.591975,Seed,634,0.051550712,634,0.051550712,0.003750623,773
339,204,13-07-2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"""  mahavir sharma""",seed/ angel funding,175000,Medium,1.591975,Seed,634,0.051550712,634,0.051550712,0.003750623,773
340,204,13-07-2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"""  amit singal""",seed/ angel funding,175000,Medium,1.591975,Seed,634,0.051550712,634,0.051550712,0.003750623,773
341,204,13-07-2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"""  100 co-founders lab and others.""",seed/ angel funding,175000,Medium,1.591975,Seed,634,0.051550712,634,0.051550712,0.003750623,773
342,205,17-07-2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"""creation investments""",private equity,29000000,Very Large,263.813,Private Equity,196,0.898435317,196,0.898435317,0.011478825,403
343,205,17-07-2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"""  falcon edge""",private equity,29000000,Very Large,263.813,Private Equity,196,0.898435317,196,0.898435317,0.011478825,403
344,205,17-07-2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"""  matrix partners india and zodius capital""",private equity,29000000,Very Large,263.813,Private Equity,196,0.898435317,196,0.898435317,0.011478825,403
345,206,17-07-2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"""kingsway fci fund""",private equity,49700000,Very Large,452.1209,Private Equity,148,0.929170159,148,0.929170159,0.017028654,263
346,206,17-07-2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"""  kck global & others""",private equity,49700000,Very Large,452.1209,Private Equity,148,0.929170159,148,0.929170159,0.017028654,263
347,207,18-07-2018,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,"""omidyar network & others""",seed/ angel funding,1500000,Large,13.6455,Seed,500,0.285834032,500,0.285834032,0.004105865,653
348,208,19-07-2018,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"""tpg growth""",private equity,100000000,Very Large,909.7,Private Equity,92,0.963677005,92,0.963677005,0.027498175,177
349,208,19-07-2018,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"""  the rise fund & others""",private equity,100000000,Very Large,909.7,Private Equity,95,0.960743224,95,0.960743224,0.030514468,165
350,209,20-07-2018,HousingMan,Consumer Internet,Property Discovery Platform,Bengaluru,nan,seed/ angel funding,1500000,Large,13.6455,Seed,18,0.994411847,18,0.994411847,0.171691808,16
351,210,21-07-2018,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,"""payu & others""",private equity,18000000,Very Large,163.746,Private Equity,247,0.858340319,247,0.858340319,0.008529641,462
352,211,23-07-2018,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bengaluru,nan,seed/ angel funding,1750000,Large,15.91975,Seed,18,0.994411847,18,0.994411847,0.171691808,16
353,212,23-07-2018,VTION,Technology,Media Analytics,Gurugram,"""angellist""",seed/ angel funding,280000,Medium,2.54716,Seed,610,0.095697122,610,0.095697122,0.003778774,749
354,212,23-07-2018,VTION,Technology,Media Analytics,Gurugram,"""  rahul khanna""",seed/ angel funding,280000,Medium,2.54716,Seed,563,0.149063984,563,0.149063984,0.007494143,549
355,212,23-07-2018,VTION,Technology,Media Analytics,Gurugram,"""  rajeev arora and ram ramsundar.""",seed/ angel funding,280000,Medium,2.54716,Seed,610,0.095697122,610,0.095697122,0.003778774,749
356,213,23-07-2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"""metaform ventures""",seed/ angel funding,436000,Medium,3.966292,Seed,566,0.146130204,566,0.146130204,0.003820599,710
357,213,23-07-2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"""  hemant luthra""",seed/ angel funding,436000,Medium,3.966292,Seed,566,0.146130204,566,0.146130204,0.003820599,710
358,213,23-07-2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,"""  micro venture capital firm gems partners and others""",seed/ angel funding,436000,Medium,3.966292,Seed,566,0.146130204,566,0.146130204,0.003820599,710
359,214,24-07-2018,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,"""gray matters""",seed/ angel funding,180000,Medium,1.63746,Seed,633,0.054763901,633,0.054763901,0.003751963,772
360,215,24-07-2018,Digit,Consumer Internet,Online Insurance Startup,Pune,"""fairfax""",private equity,45000000,Very Large,409.365,Private Equity,156,0.926096675,156,0.926096675,0.015768548,279
361,216,25-07-2018,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"""allcargo logistics""",private equity,17000000,Very Large,154.649,Private Equity,255,0.854428611,255,0.854428611,0.008261534,470
362,216,25-07-2018,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"""  navneet education and mahavir agency""",private equity,17000000,Very Large,154.649,Private Equity,255,0.854428611,255,0.854428611,0.008261534,470
363,217,25-07-2018,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"""beenext """,seed/ angel funding,1250000,Large,11.37125,Seed,507,0.273540095,507,0.273540095,0.004038838,658
364,217,25-07-2018,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,"""  weh ventures and sprout ventures""",seed/ angel funding,1250000,Large,11.37125,Seed,507,0.273540095,507,0.273540095,0.004038838,658
365,218,25-07-2018,iqlect,Technology,Data Analytics Firm,Bengaluru,"""ventureast and exfinity""",seed/ angel funding,2500000,Large,22.7425,Seed,457,0.62154233,457,0.62154233,0.004373973,636
366,219,26-07-2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"""bharat innovation""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
367,219,26-07-2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"""  idfc-parampara capital""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
368,219,26-07-2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"""  arthavida ventures""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
369,219,26-07-2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,"""  jitendra gupta & others""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
370,220,26-07-2018,Bitla Software,Technology,Travel-Focused Tech Startup,Bengaluru,"""makemytrip""",private equity,1750000,Large,15.91975,Private Equity,217,0.879994412,217,0.879994412,0.018597487,247
371,221,26-07-2018,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,"""lindwall family investments llc (lfi)""",private equity,500000,Medium,4.5485,Private Equity,555,0.171556301,555,0.171556301,0.003837758,699
372,222,30-07-2018,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,"""amazon alexa fund & dentsu ventures""",private equity,11000000,Very Large,100.067,Private Equity,315,0.805671975,315,0.805671975,0.006652888,568
373,223,30-07-2018,Cure Fit,Consumer Internet,Health and fitness Platform,Bengaluru,"""idg ventures""",private equity,120000000,Very Large,1091.64,Private Equity,63,0.978485611,63,0.978485611,0.097388544,40
374,223,30-07-2018,Cure Fit,Consumer Internet,Health and fitness Platform,Bengaluru,"""  accel partners""",private equity,120000000,Very Large,1091.64,Private Equity,23,0.993014809,23,0.993014809,0.14884878,20
375,223,30-07-2018,Cure Fit,Consumer Internet,Health and fitness Platform,Bengaluru,"""  kalaari capital and others""",private equity,120000000,Very Large,1091.64,Private Equity,82,0.967728416,82,0.967728416,0.035876621,127
376,224,31-07-2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"""tpg""",private equity,100000000,Very Large,909.7,Private Equity,95,0.960743224,95,0.960743224,0.030514468,165
377,224,31-07-2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"""  norwest venture partners""",private equity,100000000,Very Large,909.7,Private Equity,39,0.987985471,39,0.987985471,0.084885754,52
378,224,31-07-2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"""  sequoia capital & matrix partners""",private equity,100000000,Very Large,909.7,Private Equity,95,0.960743224,95,0.960743224,0.030514468,165
379,225,31-07-2018,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,"""kantilal patel""",seed/ angel funding,5000000,Large,45.485,Seed,397,0.727437832,397,0.727437832,0.005044242,606
380,226,01-06-2018,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"""sabre partners""",private equity,10000000,Very Large,90.97,Private Equity,175,0.916736519,175,0.916736519,0.014487854,311
381,226,01-06-2018,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"""  puneet dalmia & others""",private equity,10000000,Very Large,90.97,Private Equity,321,0.794775077,321,0.794775077,0.00638478,570
382,227,04-06-2018,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,"""aspire logistics llc""",seed/ angel funding,125000,Medium,1.137125,Seed,650,0.027661358,650,0.027661358,0.003737217,789
383,228,04-06-2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"""bhairavi jani""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
384,228,04-06-2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"""  alok divatia""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
385,228,04-06-2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"""  namrata kaul""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
386,228,04-06-2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"""  sohail hashemi""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
387,228,04-06-2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"""  aijaz saleem""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
388,229,05-06-2018,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"""anil advani""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
389,229,05-06-2018,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"""  pramod jain""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
390,229,05-06-2018,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"""  amrendra reddy and manish satnaliwala.""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
391,230,05-06-2018,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,"""nb ventures and others""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
392,231,07-06-2018,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,"""oman india joint investment fund (oijif)""",private equity,23000000,Very Large,209.231,Private Equity,219,0.877898854,219,0.877898854,0.00987018,435
393,232,07-06-2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"""sequoia capital india""",private equity,11500000,Very Large,104.6155,Private Equity,71,0.972338642,71,0.972338642,0.053378357,76
394,232,07-06-2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"""  saif partners""",private equity,11500000,Very Large,104.6155,Private Equity,26,0.991897178,26,0.991897178,0.14449464,22
395,232,07-06-2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"""  y combinator and venture highway""",private equity,11500000,Very Large,104.6155,Private Equity,308,0.810561609,308,0.810561609,0.006786942,566
396,233,10-06-2018,AyeFinance,Finance,Online Lending Platform,Gurugram,"""capitalg""",private equity,21500000,Very Large,195.5855,Private Equity,172,0.917993853,172,0.917993853,0.014586194,310
397,233,10-06-2018,AyeFinance,Finance,Online Lending Platform,Gurugram,"""  saif partners and lgt impact ventures""",private equity,21500000,Very Large,195.5855,Private Equity,226,0.872450405,226,0.872450405,0.009468018,443
398,234,11-06-2018,Theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,"""mumbai angels network""",seed/ angel funding,1750000,Large,15.91975,Seed,413,0.707460184,413,0.707460184,0.01182852,370
399,235,12-06-2018,Alpha Capital,Finance,Supplychain Finance,Mumbai,"""alpha capital""",private equity,14800000,Very Large,134.6356,Private Equity,179,0.912545404,179,0.912545404,0.014251839,315
400,236,12-06-2018,eshakti,E-Commerce,Fashion e-tailer,Chennai,"""paragon partners""",private equity,10100000,Very Large,91.8797,Private Equity,143,0.93685387,143,0.93685387,0.017654387,254
401,237,12-06-2018,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,"""saama capital and sequoia capital""",seed/ angel funding,3000000,Large,27.291,Seed,444,0.645850796,444,0.645850796,0.004508027,629
402,238,13-06-2018,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"""spiral ventures""",seed/ angel funding,300000,Medium,2.7291,Seed,601,0.105895502,601,0.105895502,0.003784136,742
403,238,13-06-2018,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"""  subho ray and samir kumar""",seed/ angel funding,300000,Medium,2.7291,Seed,601,0.105895502,601,0.105895502,0.003784136,742
404,239,13-06-2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"""letsventure""",seed/ angel funding,450000,Medium,4.09365,Seed,404,0.718077675,404,0.718077675,0.034005787,140
405,239,13-06-2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"""  rajan anandan""",seed/ angel funding,450000,Medium,4.09365,Seed,234,0.864207879,234,0.864207879,0.054472356,74
406,239,13-06-2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"""  basab pradhan""",seed/ angel funding,450000,Medium,4.09365,Seed,561,0.152835988,561,0.152835988,0.003824352,705
407,239,13-06-2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"""  vivek khare and bijoy george""",seed/ angel funding,450000,Medium,4.09365,Seed,561,0.152835988,561,0.152835988,0.003824352,705
408,240,13-06-2018,What\\xe2\\x80\\x99s Up Life,Consumer Internet,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,"""rannvijay singha""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
409,241,14-06-2018,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bengaluru,"""brand capital""",seed/ angel funding,3450000,Large,31.38465,Seed,124,0.94635373,124,0.94635373,0.056816387,72
410,242,14-06-2018,Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,"""helix investments""",private equity,4800000,Large,43.6656,Private Equity,403,0.718496787,403,0.718496787,0.00499062,609
411,243,18-06-2018,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,"""lighthouse funds & thuasne participations""",private equity,21000000,Very Large,191.037,Private Equity,228,0.871053367,228,0.871053367,0.009333964,445
412,244,18-06-2018,Elucidata,IT,Data Analytics (SaaS),Delhi & Cambridge,"""hyperplane venture capital and several angel investors""",seed/ angel funding,1700000,Large,15.4649,Seed,496,0.294495669,496,0.294495669,0.004159487,649
413,245,19-06-2018,Chrysalis,Ed-Tech,Education Services Provider,Pune,"""menterra venture & artha initiatives""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
414,246,19-06-2018,RentSher,Consumer Internet,Online Rental Marketplace,Bengaluru,"""shorooq investments""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
415,246,19-06-2018,RentSher,Consumer Internet,Online Rental Marketplace,Bengaluru,"""  letsventure & others""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
416,247,20-06-2018,Drip capital,Finance,Trade Finance Firm,Mumbai,"""accel partners""",private equity,15000000,Very Large,136.455,Private Equity,38,0.988264878,38,0.988264878,0.218071344,10
417,247,20-06-2018,Drip capital,Finance,Trade Finance Firm,Mumbai,"""  sequoia india""",private equity,15000000,Very Large,136.455,Private Equity,111,0.952221291,111,0.952221291,0.033774374,142
418,247,20-06-2018,Drip capital,Finance,Trade Finance Firm,Mumbai,"""  y combinator and others.""",private equity,15000000,Very Large,136.455,Private Equity,280,0.838083263,280,0.838083263,0.007725318,526
419,248,22-06-2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"""sequoia capital""",private equity,9100000,Very Large,82.7827,Private Equity,21,0.993573624,21,0.993573624,0.231009288,9
420,248,22-06-2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bengaluru,"""  accel partners & raghunandan gangappa""",private equity,9100000,Very Large,82.7827,Private Equity,330,0.783459067,330,0.783459067,0.006143483,574
421,249,25-06-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,"""softbank vision fund & info edge (india) ltd""",private equity,200000000,Very Large,1819.4,Private Equity,58,0.980581168,58,0.980581168,0.057325232,70
422,250,25-06-2018,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bengaluru,"""diageo india""",private equity,4000000,Large,36.388,Private Equity,415,0.702151439,415,0.702151439,0.004776134,616
423,251,25-06-2018,Sqqrl,Finance,App-based investment platform,Gurugram,"""equanimity venture fund""",seed/ angel funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
424,252,26-06-2018,Paytm,Technology,Digital Payment Platform,Noida,"""one 97 communications""",private equity,8950000,Very Large,81.41815,Private Equity,334,0.782062028,334,0.782062028,0.006103267,576
425,253,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"""accel partners""",private equity,19000000,Very Large,172.843,Private Equity,38,0.988264878,38,0.988264878,0.218071344,10
426,253,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"""  idg venture""",private equity,19000000,Very Large,172.843,Private Equity,238,0.862531433,238,0.862531433,0.008797749,452
427,253,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"""  endiya partners""",private equity,19000000,Very Large,172.843,Private Equity,178,0.912824811,178,0.912824811,0.031009413,156
428,253,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"""  pi ventures""",private equity,19000000,Very Large,172.843,Private Equity,210,0.882229673,210,0.882229673,0.012285048,352
429,253,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"""  vh capital""",private equity,19000000,Very Large,172.843,Private Equity,210,0.882229673,210,0.882229673,0.012285048,352
430,253,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bengaluru,"""  axilor ventures and binny bansal""",private equity,19000000,Very Large,172.843,Private Equity,238,0.862531433,238,0.862531433,0.008797749,452
431,254,27-06-2018,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,"""undisclosed existing investors as well as the tamarind family trust""",private equity,4500000,Large,40.9365,Private Equity,410,0.711651299,410,0.711651299,0.004910188,612
432,255,28-06-2018,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,"""speciale invest & others""",seed/ angel funding,1100000,Large,10.0067,Seed,513,0.265018161,513,0.265018161,0.003998622,661
433,256,28-06-2018,Edureka,Ed-Tech,Online Education Platform,Bengaluru,"""leo capital""",seed/ angel funding,2000000,Large,18.194,Seed,482,0.586197262,482,0.586197262,0.004239919,643
434,257,29-06-2018,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,"""shiva gunapu & others""",seed/ angel funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
435,258,02-05-2018,OpenTap,Finance,Online Lending Platform,Chennai,"""unknown high net-worth individuals""",seed / angel funding,450000,Medium,4.09365,Seed,561,0.152835988,561,0.152835988,0.003824352,705
436,259,02-05-2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"""b capital""",private equity,22000000,Very Large,200.134,Private Equity,223,0.874126851,223,0.874126851,0.009602072,441
437,259,02-05-2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"""  international finance corporation (ifc)""",private equity,22000000,Very Large,200.134,Private Equity,128,0.943000838,128,0.943000838,0.019109812,239
438,259,02-05-2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"""  accel partners and idg ventures""",private equity,22000000,Very Large,200.134,Private Equity,223,0.874126851,223,0.874126851,0.009602072,441
439,260,03-05-2018,Disprz,IT,SaaS,Chennai,"""il&fs private equity""",seed / angel funding,2500000,Large,22.7425,Seed,457,0.62154233,457,0.62154233,0.004373973,636
440,260,03-05-2018,Disprz,IT,SaaS,Chennai,"""  kae capital & others""",seed / angel funding,2500000,Large,22.7425,Seed,457,0.62154233,457,0.62154233,0.004373973,636
441,261,07-05-2018,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,nan,seed / angel funding,225000,Medium,2.046825,Seed,18,0.994411847,18,0.994411847,0.171691808,16
442,262,09-05-2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"""unitus ventures""",seed / angel funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
443,262,09-05-2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"""  behram vakil and jerxis vandrevala""",seed / angel funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
444,263,11-05-2018,Earth Food,Consumer Internet,Agri-tech,Pune,"""rairah corporation""",seed / angel funding,949000,Medium,8.633053,Seed,521,0.217658564,521,0.217658564,0.003958138,667
445,264,14-05-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"""sunil munjal""",private equity,24000000,Very Large,218.328,Private Equity,151,0.928192232,151,0.928192232,0.019287841,237
446,264,14-05-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"""  harsh mariwala""",private equity,24000000,Very Large,218.328,Private Equity,177,0.914501257,177,0.914501257,0.014291175,314
447,264,14-05-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"""  dalip pathak and others""",private equity,24000000,Very Large,218.328,Private Equity,177,0.914501257,177,0.914501257,0.014291175,314
